,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-257,1990,19.7,32,19,20,11,1,14,41,34.1,27,205,68,33.2,129,56,20,31,7,1,24,34,66,40,1,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-223,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-304,1996,28.1,29,16,5,13,11,6,22,27.3,16,400,132,33.0,48,152,200,25,4,0,21,10,39,16,1,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-231,1997,29.8,38,23,29,8,1,17,33,51.5,16,165,53,32.1,109,49,7,35,20,0,15,50,88,220,1,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-130,1987,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32-345,1988,5.9,3,0,0,1,2,2,10,20.0,8,89,24,27.0,8,30,51,5,1,0,4,4,7,1,0,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-217,1996,28.9,47,25,27,14,6,17,40,42.5,23,249,61,24.5,137,90,22,45,7,0,38,51,98,121,0,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-341,2001,13.7,29,15,16,12,1,11,23,47.8,12,194,62,32.0,110,60,24,23,0,0,23,12,41,34,0,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-185,1993,27.9,57,41,43,12,2,18,33,54.5,15,317,125,39.4,208,93,16,53,31,3,22,35,92,131,2,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-084,1995,7.9,11,5,5,4,2,4,5,80.0,1,61,22,36.1,26,27,8,4,2,0,2,5,16,25,0,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-176,1989,17.8,39,29,14,16,9,18,51,35.3,33,313,121,38.7,103,129,81,27,2,1,25,27,66,24,0,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-032,1991,16.6,50,32,20,22,8,15,40,37.5,25,353,107,30.3,93,181,79,23,0,0,23,27,77,15,0,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-072,1989,21.9,34,16,20,14,0,13,24,54.2,11,183,65,35.5,113,67,3,43,26,1,17,10,44,149,0,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-084,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-218,1998,29.7,54,34,27,21,6,31,54,57.4,23,278,102,36.7,104,101,73,40,3,0,37,35,89,60,1,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-090,1992,24.3,70,35,32,30,8,26,71,36.6,45,478,132,27.6,211,200,67,41,6,0,35,31,101,55,0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-223,1992,29.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,6,Matches
18,Allan\Allan,br BRA,MF,Everton,30-125,1991,18.8,62,43,31,29,2,21,72,29.2,51,515,157,30.5,231,256,28,32,11,0,21,20,82,25,0,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-032,1996,4.2,7,5,4,2,1,2,7,28.6,5,124,29,23.4,21,49,54,6,1,0,5,8,15,3,0,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-092,1994,24.1,47,28,21,23,3,15,50,30.0,35,451,104,23.1,152,186,113,35,5,2,30,24,71,23,1,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-136,1990,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-247,1998,8.2,17,13,11,3,3,2,6,33.3,4,125,48,38.4,36,57,32,15,1,0,14,5,22,9,1,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-143,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-241,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-347,1996,28.7,36,22,20,12,4,17,34,50.0,17,178,62,34.8,117,50,11,30,15,0,15,48,84,221,1,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-188,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-028,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-046,1990,19.2,11,5,1,5,5,2,7,28.6,5,210,56,26.7,14,72,124,21,9,0,12,7,18,8,0,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-075,1993,34.0,1,1,1,0,0,1,4,25.0,3,4,0,0.0,4,0,0,0,0,0,0,0,1,0,1,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-044,1992,27.9,67,40,25,30,12,29,75,38.7,46,456,133,29.2,155,200,101,30,1,0,29,29,96,19,1,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-222,1994,6.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,4,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-329,1989,24.0,17,5,8,7,2,4,20,20.0,16,320,78,24.4,55,130,135,26,2,0,24,6,23,14,0,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-140,1992,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-312,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-244,1991,22.2,50,32,7,28,15,14,43,32.6,29,644,154,23.9,131,333,180,28,2,0,26,25,75,10,0,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-261,1991,34.8,105,61,63,32,10,35,77,45.5,42,491,169,34.4,258,183,50,75,30,1,45,56,161,91,2,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-258,1989,22.4,48,28,22,20,6,19,31,61.3,12,315,92,29.2,142,127,46,33,7,0,26,35,83,93,1,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-031,1994,8.2,8,5,4,3,1,0,0,,0,45,16,35.6,21,23,1,15,14,0,1,17,25,44,0,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-263,1991,13.3,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-065,1993,29.0,50,24,30,16,4,21,46,45.7,25,431,102,23.7,187,163,81,41,8,1,33,33,83,76,0,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-301,1989,8.8,14,9,4,6,4,4,12,33.3,8,111,33,29.7,25,48,38,15,2,0,13,9,23,17,0,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-250,1993,31.8,22,15,5,9,8,5,25,20.0,20,554,160,28.9,32,235,287,15,8,1,7,13,35,34,0,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-319,1985,3.0,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-159,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-159,1993,16.3,6,2,2,4,0,3,12,25.0,9,235,56,23.8,35,138,62,19,2,0,17,5,11,8,0,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-195,1989,14.5,15,6,2,6,7,4,12,33.3,8,190,48,25.3,22,72,96,15,3,0,12,4,19,9,0,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-155,1997,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-356,1991,25.7,24,16,14,9,1,8,28,28.6,20,212,72,34.0,123,79,10,63,31,1,32,24,48,187,2,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-297,1988,25.6,72,45,45,21,6,36,65,55.4,29,350,105,30.0,186,119,45,45,13,5,32,39,111,101,1,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-223,1993,8.1,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,25-031,1996,33.4,46,27,29,16,1,22,51,43.1,29,274,93,33.9,163,100,11,56,26,1,30,74,120,207,1,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,24-025,1997,4.8,10,8,3,5,2,1,10,10.0,9,83,23,27.7,14,48,21,10,1,0,9,6,16,7,0,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-055,1995,23.2,34,18,18,13,3,12,41,29.3,29,224,63,28.1,87,100,37,50,9,0,41,13,47,41,0,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,25-276,1995,14.1,27,18,8,14,5,7,25,28.0,18,257,64,24.9,75,128,54,11,0,0,11,11,38,8,0,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-159,1999,2.9,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-161,1990,18.3,13,9,1,5,7,0,7,0.0,7,215,51,23.7,16,117,82,17,6,1,11,4,17,34,0,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-198,1990,12.9,16,11,5,7,4,9,20,45.0,11,143,41,28.7,41,62,40,18,2,0,16,13,29,10,0,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-088,1998,12.4,21,16,9,8,4,5,17,29.4,12,217,63,29.0,70,115,32,20,2,0,18,3,24,19,1,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-217,1997,11.9,13,8,7,3,3,6,23,26.1,17,202,50,24.8,53,81,68,10,1,0,9,10,23,4,0,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-247,1992,4.6,5,4,1,2,2,3,12,25.0,9,65,15,23.1,22,27,16,8,0,0,8,6,11,3,0,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-364,1995,2.3,8,5,6,1,1,4,6,66.7,2,34,13,38.2,15,9,10,6,0,0,6,0,8,3,0,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-281,1989,28.9,71,43,29,36,6,28,48,58.3,20,317,123,38.8,121,146,50,47,5,0,42,31,102,56,1,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-256,1996,31.6,103,66,54,41,8,25,64,39.1,39,494,173,35.0,212,233,49,53,7,0,46,53,156,60,0,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-290,2000,11.3,34,16,19,14,1,19,33,57.6,14,218,61,28.0,100,74,44,25,4,0,21,18,52,21,0,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-099,1991,19.0,38,23,32,6,0,12,26,46.2,14,146,52,35.6,103,40,3,26,13,0,13,17,55,99,0,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-144,1996,26.6,20,12,10,7,3,5,28,17.9,23,310,83,26.8,78,120,112,34,1,0,33,20,40,4,0,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-119,1992,11.7,22,12,12,3,7,9,31,29.0,22,181,41,22.7,62,75,44,25,2,0,23,9,31,24,1,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-042,2000,12.1,13,7,1,7,5,0,12,0.0,12,229,59,25.8,12,113,104,15,3,0,12,6,19,3,0,Matches
69,Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,23-038,1998,0.0,1,0,0,1,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0,Matches
70,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-145,1995,28.8,47,25,11,29,7,9,40,22.5,31,457,114,24.9,101,248,108,58,12,1,46,50,97,53,0,Matches
71,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-238,1993,5.3,13,8,6,5,2,4,11,36.4,7,67,21,31.3,30,23,14,15,1,0,14,9,22,19,0,Matches
72,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-193,1996,11.2,24,15,13,10,1,9,15,60.0,6,150,44,29.3,81,58,11,26,11,0,15,28,52,70,3,Matches
73,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,24-036,1997,14.1,18,10,6,9,3,5,28,17.9,23,415,76,18.3,35,188,192,21,0,0,21,2,20,4,0,Matches
74,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,29-004,1992,19.9,40,16,25,12,3,17,47,36.2,30,271,89,32.8,126,101,44,35,5,0,30,29,69,79,0,Matches
75,David Button\David-Button,eng ENG,GK,West Brom,32-075,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-043,1998,0.2,0,0,0,0,0,0,1,0.0,1,5,0,0.0,3,0,2,0,0,0,0,0,0,0,0,Matches
77,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-227,1981,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-145,1985,17.0,12,7,10,2,0,3,9,33.3,6,84,24,28.6,56,21,7,36,23,0,13,15,27,107,1,Matches
79,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-113,1991,8.4,5,4,1,2,2,0,3,0.0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,Matches
80,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-058,1997,27.9,16,11,0,7,9,2,11,18.2,9,293,88,30.0,22,125,146,31,8,0,23,5,21,28,0,Matches
81,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-351,1994,24.6,74,41,41,25,8,40,84,47.6,44,313,109,34.8,130,120,63,35,3,0,32,50,124,36,1,Matches
82,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-093,2000,3.8,9,7,6,1,2,6,12,50.0,6,73,20,27.4,25,28,20,4,1,0,3,2,11,0,0,Matches
83,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-127,1989,4.3,2,1,1,0,1,0,5,0.0,5,57,14,24.6,7,28,22,2,0,0,2,1,3,10,0,Matches
84,Fabio Carvalho\Fabio-Carvalho,eng ENG,MF,Fulham,18-256,2002,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,0,0,0,Matches
85,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-279,1997,25.9,78,44,41,29,8,34,76,44.7,42,439,125,28.5,228,167,44,77,15,0,62,47,125,109,2,Matches
86,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-223,1986,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-159,1995,24.1,58,33,30,22,6,19,43,44.2,24,324,92,28.4,128,121,75,46,3,0,43,20,78,58,1,Matches
88,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-071,1994,5.5,9,6,5,2,2,5,18,27.8,13,99,25,25.3,37,43,19,10,3,0,7,7,16,8,0,Matches
89,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-207,1993,24.5,26,19,13,8,5,4,19,21.1,15,381,114,29.9,77,156,148,35,1,0,34,15,41,19,1,Matches
90,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-088,1987,13.3,9,5,0,4,5,3,11,27.3,8,180,49,27.2,13,63,104,5,1,0,4,7,16,10,0,Matches
91,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-279,1996,17.9,40,33,19,12,9,13,49,26.5,36,282,75,26.6,121,101,60,29,7,1,22,24,64,21,0,Matches
92,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-113,1995,6.4,4,1,2,2,0,2,7,28.6,5,68,20,29.4,35,21,12,13,2,0,11,9,13,37,0,Matches
93,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-143,1996,23.4,44,28,17,20,7,15,36,41.7,21,295,100,33.9,118,123,54,62,3,0,59,25,69,54,0,Matches
94,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-224,1997,3.5,11,7,5,6,0,2,10,20.0,8,53,18,34.0,18,31,4,9,2,0,7,5,16,6,1,Matches
95,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,25-033,1996,15.2,20,12,14,4,2,5,11,45.5,6,104,38,36.5,57,38,9,26,15,0,11,26,46,80,1,Matches
96,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-229,1989,21.0,27,14,18,7,2,3,10,30.0,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3,Matches
97,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,30-038,1991,12.7,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0,Matches
98,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-077,1993,33.7,28,20,20,8,0,13,34,38.2,21,180,61,33.9,133,45,2,54,36,0,18,22,50,146,1,Matches
99,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-214,1988,15.2,35,24,24,9,2,16,34,47.1,18,206,64,31.1,118,58,30,32,7,0,25,18,53,33,1,Matches
100,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-105,2000,8.3,7,5,2,4,1,1,5,20.0,4,117,37,31.6,6,55,56,8,1,0,7,0,7,1,0,Matches
101,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-256,1991,22.3,69,45,43,25,1,31,54,57.4,23,259,107,41.3,161,90,8,42,30,0,12,44,113,110,1,Matches
102,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-322,1989,12.2,22,14,4,15,3,9,22,40.9,13,191,57,29.8,50,100,41,17,6,0,11,12,34,19,0,Matches
103,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,27-121,1994,12.8,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0,Matches
104,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-264,1992,30.9,76,40,56,17,3,44,85,51.8,41,409,114,27.9,223,122,64,69,5,0,64,35,111,116,1,Matches
105,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-149,1989,32.2,29,12,15,12,2,14,32,43.8,18,202,59,29.2,112,74,16,45,12,0,33,30,59,91,0,Matches
106,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-130,1998,0.3,0,0,0,0,0,0,0,,0,7,2,28.6,2,1,4,0,0,0,0,0,0,0,0,Matches
107,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,30-024,1991,34.9,74,47,44,26,4,28,96,29.2,68,546,178,32.6,208,261,77,54,3,0,51,57,131,50,1,Matches
108,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-088,1987,15.0,10,7,9,1,0,3,12,25.0,9,62,17,27.4,41,20,1,26,16,0,10,8,18,75,1,Matches
109,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-217,1990,25.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,2,0,Matches
110,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,28-019,1993,15.0,26,13,14,8,4,10,29,34.5,19,184,42,22.8,91,64,29,24,5,0,19,13,39,72,0,Matches
111,Tom Davies\Tom-Davies,eng ENG,MF,Everton,22-317,1998,14.7,32,27,21,10,1,9,36,25.0,27,245,82,33.5,104,109,32,20,7,0,13,30,62,29,0,Matches
112,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,23-089,1998,2.0,3,3,1,1,1,0,1,0.0,1,42,12,28.6,4,24,14,1,0,0,1,0,3,2,0,Matches
113,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-121,2000,0.4,0,0,0,0,0,0,2,0.0,2,12,0,0.0,5,6,1,3,1,0,2,2,2,0,0,Matches
114,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,31-007,1990,18.4,12,10,12,0,0,3,11,27.3,8,120,41,34.2,79,38,3,26,20,1,6,28,40,120,1,Matches
115,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-319,1991,21.2,37,31,8,19,10,10,48,20.8,38,355,119,33.5,42,160,153,25,2,0,23,16,53,7,0,Matches
116,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-094,2003,0.4,0,0,0,0,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
117,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-173,1989,3.0,5,2,3,2,0,1,2,50.0,1,30,6,20.0,12,18,0,4,0,0,4,4,9,3,0,Matches
118,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,26-028,1995,26.0,48,28,31,14,3,23,57,40.4,34,459,140,30.5,212,202,45,56,15,0,41,24,72,73,0,Matches
119,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-197,1991,13.2,8,4,3,2,3,1,4,25.0,3,138,40,29.0,13,44,81,7,1,0,6,2,10,17,0,Matches
120,Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,18-306,2002,0.9,1,1,0,1,0,0,0,,0,18,6,33.3,7,8,3,2,1,0,1,2,3,2,0,Matches
121,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-066,1999,10.0,27,22,13,12,2,7,20,35.0,13,209,68,32.5,74,121,14,14,1,0,13,13,40,16,0,Matches
122,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,23-024,1998,12.3,31,18,20,5,6,12,32,37.5,20,277,57,20.6,132,89,56,26,1,0,25,13,44,4,0,Matches
123,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-150,1996,23.3,32,17,14,11,7,10,46,21.7,36,357,90,25.2,99,140,118,36,1,0,35,30,62,30,0,Matches
124,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-364,1997,29.6,29,20,15,12,2,4,16,25.0,12,162,58,35.8,80,65,17,42,22,0,20,21,50,102,0,Matches
125,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,27-118,1994,26.0,23,14,12,10,1,11,20,55.0,9,152,45,29.6,93,51,8,46,31,0,15,22,45,158,0,Matches
126,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,27-297,1993,25.8,68,35,47,11,10,25,45,55.6,20,347,90,25.9,168,112,67,55,3,0,52,19,87,81,0,Matches
127,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-309,1991,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
128,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,24-124,1997,15.3,26,19,14,12,0,6,18,33.3,12,112,40,35.7,60,48,4,35,24,1,11,14,40,82,2,Matches
129,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22-332,1998,12.8,43,20,23,11,9,16,50,32.0,34,306,86,28.1,110,114,82,26,0,0,26,10,53,15,0,Matches
130,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,29-117,1992,12.7,18,6,5,8,5,10,29,34.5,19,165,32,19.4,67,66,32,36,5,0,31,14,32,47,0,Matches
131,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,23-145,1997,20.2,26,16,21,5,0,8,15,53.3,7,136,49,36.0,87,44,5,38,23,0,15,21,47,93,2,Matches
132,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,28-132,1993,23.7,47,34,27,14,6,13,40,32.5,27,456,127,27.9,194,181,81,36,9,0,27,28,75,28,1,Matches
133,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-118,1989,10.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
134,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,29-229,1991,10.9,19,10,11,7,1,9,18,50.0,9,99,22,22.2,65,28,6,23,7,0,16,14,33,71,1,Matches
135,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,29-173,1991,31.6,32,18,21,9,2,12,22,54.5,10,180,68,37.8,95,73,12,37,22,1,15,29,61,123,2,Matches
