,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
467,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29-301,1991,22.1,57,31,33,16,8,20,84,23.8,64,450,114,25.3,205,174,71,51,1,0,50,42,99,12,0,Matches
468,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,28-070,1993,21.8,47,29,30,13,4,26,48,54.2,22,248,85,34.3,119,96,33,39,12,2,27,36,83,57,1,Matches
469,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,25-108,1996,27.1,28,19,13,11,4,8,17,47.1,9,319,96,30.1,76,168,75,25,1,0,24,10,38,15,1,Matches
470,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,25-249,1995,22.5,24,9,8,7,9,9,37,24.3,28,344,63,18.3,95,138,111,22,0,0,22,22,46,16,0,Matches
471,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,26-224,1994,13.0,32,18,13,12,7,11,38,28.9,27,304,67,22.0,91,119,94,27,1,0,26,11,43,16,0,Matches
472,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,26-160,1994,26.9,27,20,7,16,4,6,31,19.4,25,392,121,30.9,100,162,130,38,4,0,34,21,48,4,0,Matches
473,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,25-001,1996,0.1,0,0,0,0,0,0,0,,0,4,3,75.0,0,2,2,0,0,0,0,0,0,0,0,Matches
474,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,23-180,1997,2.5,7,3,4,3,0,4,6,66.7,2,36,13,36.1,23,12,1,10,5,0,5,1,8,11,0,Matches
475,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,23-303,1997,3.1,3,3,0,2,1,1,5,20.0,4,44,15,34.1,11,18,15,5,0,0,5,3,6,0,0,Matches
476,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,22-080,1999,1.1,3,2,1,2,0,0,4,0.0,4,32,9,28.1,13,11,8,5,0,0,5,3,6,5,0,Matches
477,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,34-122,1987,29.6,15,8,3,5,7,3,15,20.0,12,281,76,27.0,14,95,172,15,4,0,11,8,23,25,0,Matches
478,Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,29-118,1992,25.3,77,41,47,22,8,33,63,52.4,30,312,92,29.5,141,122,49,35,4,0,31,35,112,84,0,Matches
